2026-05-11T15:09:34.121000Z;prop7458;;propietario;hola me interesa
2026-05-11T15:09:57.625000Z;prop7458;;propietario;hp
2026-05-12T14:48:16.613000Z; prop2211;lol;papa;hola me insteresa la casa es que barrio de armenia estaa, tiene gas natural
2026-05-12T14:49:09.916000Z;prop2211;lol;papa;hjola
2026-05-12T14:49:32.081000Z;prop2211;lol;papa;Me intersa la cas 
2026-05-14T16:36:37.793000Z;prop1284;lola;pola;holaaa;
2026-05-14T16:36:57.937000Z;prop1284;pola;lola;hola en que le puedo ayudar;2026-05-14T16:36:37.793000Z
2026-05-14T16:37:46.877000Z;prop1284;lola;pola;cuando podemos vernos reservala pls;
2026-05-14T16:37:59.615000Z;prop1284;pola;lola;dale;2026-05-14T16:37:46.877000Z
2026-05-14T16:39:48.410000Z;prop2436;lola;arriendo;hola;
2026-05-14T16:40:50.767000Z;prop2436;arriendo;lola;mm;2026-05-14T16:39:48.410000Z
2026-05-15T02:00:59.839000Z;;lopi;mariaa;Hola tu cuales propiedades me recomiendas arrendar;
2026-05-15T02:01:06.717000Z;;lopi;lokj;l;
2026-05-15T02:02:05.624000Z;;mariaa;lopi;ninguns;2026-05-15T02:00:59.839000Z
2026-05-18T21:51:24.245000Z;;Mari123;julian;JHola;
2026-05-18T21:51:59.960000Z;;julian;Mari123;Hola en que le puedo ayudar;
2026-05-26T03:47:08.884000Z;;lola;vendedor;Hola Cara de bola;
2026-05-26T03:52:34.518000Z;;lola;pola;Hola, cara de bola ;
2026-05-26T03:52:55.335000Z;;pola;lola;Hola, en que te puedo colaborar ;
2026-05-26T03:53:48.561000Z;;lola;pola;Estoy interesada en la propiedad 1284;
2026-05-26T03:54:08.090000Z;;pola;lola;Ok, la desas rrendar o reservar;
2026-05-26T03:54:29.575000Z;;lola;pola;Reservar;
2026-05-26T03:54:39.004000Z;;pola;lola;ok;
2026-05-26T04:03:41.164000Z;;Robinson;julian;hola, como te parece este cliente si deja la casa organizada;
2026-05-26T04:04:15.058000Z;;julian;Robinson;Si, super;
